! | OTHER 3 OTHER: 5
% | PERSON 9 OTHER 48 OTHER: 88
&ur; | OTHER 1
intermission | OTHER 1
intern | PERSON 9 PERSON: 1
internationalization | OTHER 1
internet | ORGANIZATION 1 OTHER 45 OTHER: 22
interoperability | OTHER: 1
interplay | OTHER 1
interpreter | PERSON 2
interrogation | OTHER 1 OTHER: 1
interrogators | PERSON 1
interruption | OTHER: 2
intersection | LOCATION 1
intersections | OTHER 1
interstate | FACILITY 2
intervals | OTHER 1
interveners | PERSON: 1
intervenors | PERSON 1
intervention | OTHER 11 OTHER: 5
interview | OTHER 52 OTHER: 25
interviewees | PERSON: 1
interviewer | PERSON 1 PERSON: 1
interviews | OTHER 15 OTHER: 4
intestine | OTHER 1
intifada | OTHER 1 OTHER: 1
intimacy | OTHER 1
intimidation | OTHER 4
intolerance | OTHER 2 OTHER: 1
intoxication | OTHER 1
intranet | OTHER 1
intranets | OTHER 1
intransigence | OTHER 3
intricacies | OTHER 1
intrigue | OTHER: 2
intrigues | OTHER 1
intrinsic | OTHER: 1
introduction | OTHER 4 OTHER: 4
introspection | OTHER 1
intruded | OTHER 1
intruder | PERSON: 3 OTHER 1
intruders | PERSON: 2 OTHER 1
intrusion | OTHER: 1
intuition | OTHER 1 OTHER: 1
invalid | OTHER 1 OTHER: 1
invalids | PERSON 1
invasion | OTHER 7 OTHER: 1
invective | OTHER 1
invention | OTHER 1
inventions | OTHER 1
inventor | PERSON 1
inventories | OTHER: 2
investigation | OTHER 112 OTHER: 11
investigations | OTHER 14 OTHER: 2
investigator | PERSON 8
investigators | PERSON 67 PERSON: 5 OTHER 3
investment | OTHER 21 OTHER: 30
investments | OTHER 19 OTHER: 9
investor | PERSON 1 PERSON: 4 GPE 2 OTHER: 1
investors | ORGANIZATION:Commercial 1 ORGANIZATION 2 PERSON 48 PERSON: 28 OTHER 2 OTHER: 1
invitation | OTHER 9 OTHER: 3
invitations | OTHER 3
involvement | OTHER 17 OTHER: 4
ious | OTHER 1
iraqs | GPE 1
iron | OTHER 4
irony | OTHER 2
irregularities | OTHER 6 OTHER: 2
irresponsibility | OTHER: 1
irreverent | OTHER 1
irritant | OTHER 1
islamic | ORGANIZATION 1
island | GPE:Nation 3 GPE:State-or-Province 1 GPE 27 GPE:Population-Center 1 LOCATION:Region-Subnational 1 LOCATION:Land-Region-Natural 1 LOCATION 8
islanders | GPE 1
islands | GPE 5 LOCATION:Land-Region-Natural 2 LOCATION 2 OTHER 1
isle | OTHER 1
islets | LOCATION 4
isolation | OTHER 2 OTHER: 2
israelis | PERSON 1 PERSON: 3 GPE:Nation 3
issuance | OTHER 3
issue | PERSON 1 GPE:Nation 1 OTHER 109 OTHER: 31
issued | OTHER: 1
issues | OTHER 97 OTHER: 52
it. | OTHER 1 OTHER: 2
it. . . | OTHER 1
item | OTHER: 3
items | OTHER 10 OTHER: 5
ites | OTHER 1
itinerary | OTHER: 1
itses | OTHER 1
ivorians | PERSON: 1
j | OTHER 1
jacket | OTHER 6
jackets | OTHER 4
jackpot | OTHER 2
jail | FACILITY:Building 2 FACILITY 18 OTHER 8
jailers | PERSON 1
jails | FACILITY:Building 1 FACILITY:Bounded-Area 1
jams | OTHER 1
jan. | OTHER 29 OTHER: 2
january | OTHER 37 OTHER: 14
japanese | PERSON 1 GPE 1
jar | OTHER 1
jargon | OTHER 2
jars | OTHER 3
jaw | OTHER 1
jaws | OTHER 3
jazz | OTHER 7
jealousy | OTHER 1
jeans | OTHER 3 OTHER: 2
jeb | PERSON: 1
jeep | VEH:Land 1 OTHER 1
jeffersonians | PERSON 1
jellies | OTHER: 2
jellyfish | OTHER: 11
jeopardy | OTHER 4
jersey | OTHER 1
jerseys | OTHER 1
jerusalem | GPE 1
jet | VEH:Air 3 OTHER 11
jetliner | VEH:Air 1
jets | VEH:Air 1 OTHER 8
jewel | ORGANIZATION 2 FACILITY 1 OTHER 3
jeweler | PERSON 1
jewelry | OTHER 12
jewels | OTHER 2
jews | PERSON 5 PERSON: 2
jicama | OTHER 1
jigs | OTHER: 1
job | PERSON 3 OTHER 74 OTHER: 26
job. | OTHER 1
joblessness | OTHER 1
jobs | PERSON 1 OTHER 31 OTHER: 13
jockey | PERSON 3 OTHER 1
jocks | PERSON 1
joe | PERSON 1
jog | OTHER: 2
joint | OTHER 2
joints | OTHER 4 OTHER: 2
joke | OTHER 3 OTHER: 3
joked | OTHER: 1
joker | OTHER 1
jokes | OTHER 5 OTHER: 1
jordanians | PERSON 1
jounalists | PERSON 1
journal | OTHER 1 OTHER: 6
journaling | OTHER 1
journalism | OTHER 2 OTHER: 1
journalist | PERSON 24 PERSON: 3 OTHER 1
journalists | PERSON 29 PERSON: 3
journals | OTHER: 1
journey | OTHER 5 OTHER: 2
joy | OTHER 3 OTHER: 3
joys | OTHER 1
judge | PERSON 35 PERSON: 46
judgement | OTHER 1
judges | PERSON 22 PERSON: 8 GPE:Nation 2 OTHER 1
judgeships | OTHER: 1
judgment | OTHER 13
judgments | OTHER 3 OTHER: 1
judiciary | ORGANIZATION:Government 2 OTHER 3 OTHER: 2
juice | OTHER 3 OTHER: 1
juices | OTHER 3
july | OTHER 31 OTHER: 5
jumble | OTHER 1
jump | OTHER 3 OTHER: 2
jumper | PERSON 1 OTHER 1
juncture | OTHER 3
june | OTHER 54 OTHER: 4
jungle | LOCATION 2 OTHER 1 OTHER: 1
junior | PERSON 1 OTHER: 1
junta | ORGANIZATION 5
jurisdiction | GPE 1 OTHER 16 OTHER: 1
jurisdictions | OTHER 1
jurists | PERSON 1
juror | PERSON 4
jurors | PERSON 3 PERSON: 1
jury | PERSON 7 PERSON: 8 ORGANIZATION 29 OTHER 5
just 19 | OTHER 1
just 300 | OTHER: 1
just one | OTHER 4
just three | OTHER 1
justice | PERSON 3 PERSON: 9 OTHER 36 OTHER: 6
justices | PERSON 11 PERSON: 11
justification | OTHER 2
justifications | OTHER 1
juxtaposition | OTHER: 1
kapusta | PERSON 1
katv | ORGANIZATION 2
kebabs | OTHER: 1
keep | OTHER: 1
keeper | PERSON 2
kernel | OTHER: 1
key | OTHER 3 OTHER: 3
keyboard | OTHER 2
keyboards | OTHER 1
keys | OTHER 1
kick | OTHER 4
kickoff | OTHER 2
kid | PERSON 3 PERSON: 3
kidnapped | OTHER 2
kidnapper | PERSON 1
kidnappers | PERSON 16
kidnappings | OTHER 3
kidney | OTHER 6
kidneys | OTHER 1
kids | PERSON 27 PERSON: 10
killer | PERSON 17 PERSON: 5
killers | PERSON 8
killing | OTHER 40 OTHER: 1
killings | PERSON 1 OTHER 30 OTHER: 1
kilo | OTHER 1
kilogramme | OTHER 1
kilograms | OTHER 1
kilometer | OTHER 1 OTHER: 2
kilometers | OTHER 32 OTHER: 4
kilometres | OTHER 4
kilowatts | OTHER: 2
kilter | OTHER 1
kilts | OTHER: 4
kind | ORGANIZATION 1 ORGANIZATION:Other 1 PERSON 2 OTHER 86 OTHER: 32
kindergarten | ORGANIZATION 1
kindly | OTHER: 1
kinds | OTHER 14 OTHER: 2
king | PERSON 9 PERSON: 2 OTHER 2 OTHER: 2
kingdom | GPE 1
kings | PERSON 1
kingurra | OTHER 1
kippur | OTHER: 1
kitchen | FACILITY 2 OTHER 3
kitchens | FACILITY:Subarea-Building 1
kits | OTHER 3
kitty | OTHER: 1
kms | OTHER 3
knack | OTHER 1
knee | OTHER 4
knees | OTHER 2 OTHER: 2
knell | OTHER 1
knife | OTHER 5
knob | OTHER 1
knock | OTHER 1
knockdown | OTHER 1
knockout | OTHER 1
knockouts | OTHER 2
knot | PERSON 1 OTHER 1
knots | OTHER: 1
knowledge | OTHER 14 OTHER: 2
known | OTHER 1
kremlin | FACILITY:Building 1
kroner | OTHER 1
kvm | ORGANIZATION 2
l987 | OTHER 1
la | OTHER 1
lab | ORGANIZATION 1 FACILITY 1 OTHER 1
label | ORGANIZATION 5 OTHER: 1
labels | OTHER 4
labor | PERSON: 1 OTHER 23 OTHER: 3
laboratories | ORGANIZATION 1 FACILITY 3
labored | OTHER 1
laborers | PERSON 4 OTHER 1
laborious | OTHER 1
labors | OTHER 1
lace | OTHER 1
lack | OTHER 21 OTHER: 4
ladder | OTHER 1
ladies | PERSON 7 PERSON: 2
lading | OTHER: 2
lady | PERSON 10 PERSON: 3 OTHER: 1
lagoons | LOCATION 1
lair | FACILITY 1
lake | LOCATION 3 LOCATION:Water-Body 1
lamb | OTHER 4
lambs | OTHER: 1
laments | OTHER 1
lamp | OTHER 1
land | GPE 3 GPE:Population-Center 1 FACILITY:Bounded-Area 2 LOCATION:Region-Local 1 LOCATION:Region-National 2 LOCATION 12 OTHER 13 OTHER: 3
landfall | OTHER 1
landholdings | LOCATION 1
landing | OTHER 7 OTHER: 2
landings | OTHER 1
landlord | PERSON 1 PERSON: 1
landmark | FACILITY 1 OTHER 1
lands | GPE 4 LOCATION 1 OTHER: 1
landscape | GPE:Continent 1 OTHER 3
landslide | OTHER 1 OTHER: 1
landslides | OTHER 2
langoustines | OTHER 1
language | OTHER 34 OTHER: 7
languages | OTHER 3
lantern | OTHER 3
lanterns | OTHER 1
lap | OTHER: 1
lapastica | GPE 1
lapels | OTHER 1
laps | OTHER 2
lapse | OTHER 2
lapses | OTHER 1 OTHER: 1
large | OTHER 1 OTHER: 1
large-scale | OTHER: 1
largo | GPE 1
laris | OTHER 1
larvae | OTHER: 5
lasagna | OTHER 1
lasso | OTHER 1
last | OTHER 9 OTHER: 5
late | OTHER 2 OTHER: 1
late 1992 | OTHER 1
late 1993 | OTHER 1
late 1995 | OTHER 1 OTHER: 1
late 1997 | OTHER: 1
late 2002 | OTHER: 1
latest | ORGANIZATION 1 OTHER 21 OTHER: 5
latitude | OTHER 1
latter | GPE 1 OTHER 1 OTHER: 1
latvia. .. | GPE 1
laugh | OTHER 1 OTHER: 6
laughs | OTHER: 2
laughter | OTHER 1
launch | OTHER 4
launches | OTHER 3
laundromat | FACILITY 1
laundry | OTHER 1
laura | PERSON: 1
lava | OTHER: 1
law | OTHER 122 OTHER: 50
lawlessness | OTHER 2 OTHER: 1
lawmaker | PERSON 3 PERSON: 1
lawmakers | PERSON 19 PERSON: 14
lawn | LOCATION 4 OTHER 1
laws | OTHER 36 OTHER: 11
lawsuit | OTHER 21 OTHER: 17
lawsuits | OTHER 5 OTHER: 6
lawyer | PERSON 76 PERSON: 13 OTHER 2
lawyerese | OTHER 1
lawyers | PERSON 81 PERSON: 31
layer | OTHER 5
layers | OTHER 2
layoffs | OTHER 11 OTHER: 1
layout | OTHER 1
lead | OTHER 24 OTHER: 17
lead-in | OTHER 1
leader | ORGANIZATION:Commercial 1 ORGANIZATION 5 PERSON 104 PERSON: 24 OTHER 10
leader.. | OTHER 1
leaderboard | OTHER 1
leaders | ORGANIZATION 1 PERSON 146 PERSON: 46 OTHER 1
leadership | ORGANIZATION:Government 1 ORGANIZATION 3 PERSON 10 PERSON: 4 GPE 1 OTHER 14 OTHER: 5
leads | OTHER 6
leaf | OTHER 1
leaflet | OTHER 1
leaflets | OTHER 3
league | ORGANIZATION:Commercial 12 ORGANIZATION 25 OTHER 1 OTHER: 1
leaguer | PERSON: 1
leagues | ORGANIZATION:Commercial 5 ORGANIZATION 5 OTHER 1
leak | OTHER 9
leakage | OTHER 2
leaks | OTHER 16
lean | OTHER 1
leap | OTHER 2 OTHER: 2
learner | PERSON 1
learning | OTHER 1
leases | OTHER 2
leash | OTHER 1
least | OTHER 8
leather | OTHER 2 OTHER: 2
leave | OTHER 1
leavin | OTHER 1
lecture | OTHER 1
ledger | OTHER 1
left | PERSON 1 OTHER 1 OTHER: 1
leftists | PERSON: 1
leg | ORGANIZATION 1 OTHER 9 OTHER: 3
legacies | OTHER 1
legacy | FACILITY:Bounded-Area 1 OTHER 4 OTHER: 3
legal | OTHER: 2
legality | OTHER 1
legals | OTHER 1
legend | PERSON 2
legends | PERSON 1
leggings | OTHER: 1
legions | PERSON 1
legislation | OTHER 27 OTHER: 9
legislative | OTHER: 1
legislator | PERSON 4 PERSON: 1
legislators | PERSON 7 PERSON: 2
legislature | ORGANIZATION:Government 7 ORGANIZATION 13
legislatures | ORGANIZATION:Government 1 GPE 1
legitimacy | OTHER 5 OTHER: 2
legitimate | OTHER: 1
legs | OTHER 6
lenders | PERSON: 1 ORGANIZATION 2
length | OTHER 3
leniency | OTHER 1
lens | OTHER 2 OTHER: 1
lenses | OTHER: 1
lesbians | PERSON: 1
lesions | OTHER 1
less | OTHER 8 OTHER: 1
lesson | OTHER 9 OTHER: 2
lessons | OTHER 3
let | OTHER 20 OTHER: 6
letdown | OTHER 1
letter | OTHER 60 OTHER: 13
letters | OTHER 11 OTHER: 6
letup | OTHER: 1
level | OTHER 49 OTHER: 18
levels | OTHER 30 OTHER: 9
lever | OTHER 3
leverage | OTHER 4
lexicon | OTHER 1
liabilities | OTHER 1
liability | OTHER 1 OTHER: 2
liaison | PERSON: 1
liaisons | OTHER 1
liar | PERSON 5
libel | OTHER 1
liberal | PERSON 1 PERSON: 2 OTHER: 1
liberalization | OTHER 1 OTHER: 1
liberals | PERSON 7 PERSON: 2
liberated | OTHER 1
libertarian | PERSON 1
libertarians | PERSON 1
liberties | OTHER: 1
liberty | OTHER 4
librarians | PERSON: 1
library | ORGANIZATION 1 FACILITY 2 OTHER: 1
libretto | OTHER 1
librettos | OTHER 1
libya | GPE 1
libyans | PERSON: 1
license | OTHER 4
licenses | OTHER 2
lick | OTHER 1
lie | OTHER 1
lie. | OTHER 1
lies | OTHER 6
lieutenant | PERSON: 1 OTHER 1
lieutenants | PERSON 2 PERSON: 1
life | OTHER 127 OTHER: 14
lifeline | OTHER: 1
lifestyle | OTHER 1
lifestyles | OTHER: 1
lifetime | OTHER 4 OTHER: 2
lift | FACILITY 1 OTHER 2
lifts | FACILITY 1 OTHER 1
ligament | OTHER: 1
ligaments | OTHER 1
light | OTHER 26 OTHER: 1
lighter | OTHER 2
lightning | OTHER 1
lights | OTHER 10 OTHER: 9
like | OTHER: 1
liked.third | OTHER 1
likelihood | OTHER 6 OTHER: 2
likely | OTHER 1
likes | OTHER 2
limb | OTHER 1
limbo | OTHER 4
limbs | OTHER 1
limelight | OTHER 1
limit | OTHER 13 OTHER: 2
limitation | OTHER 1
limitations | OTHER 1 OTHER: 1
limits | OTHER 18 OTHER: 2
limousine | OTHER 1
line | PERSON 1 ORGANIZATION 1 FACILITY:Path 2 LOCATION 1 LOCATION:Boundary 1 OTHER 89 OTHER: 32
linebacker | PERSON 1
lineman | PERSON 1
linemen | PERSON 2
liners | PERSON 1 OTHER 2 OTHER: 1
lines | PERSON 1 FACILITY:Path 2 FACILITY:Conduit 1 FACILITY 2 OTHER 43 OTHER: 8
lineup | PERSON 1 OTHER 2 OTHER: 2
lingering | OTHER 1
lining | OTHER 1
link | OTHER 6 OTHER: 2
links | OTHER 19 OTHER: 1
lion | OTHER 2
lions | OTHER 1 OTHER: 1
lip | OTHER 1
lips | OTHER 2
lipstick | OTHER: 1
liquid | OTHER 1
liquidity | OTHER 2
lira | OTHER 2
list | OTHER 47 OTHER: 7
listeners | PERSON 5
listing | OTHER 6
listings | OTHER 2 OTHER: 2
lists | OTHER 5 OTHER: 2
lit | OTHER 1
liter | OTHER 2
literacy | OTHER: 3
literature | OTHER: 1
liters | OTHER: 1
lithography | OTHER 1
litigation | OTHER 7 OTHER: 5
litter | OTHER 1
little | OTHER 14 OTHER: 3
littoral | OTHER 1
liturgy | OTHER 1
live | OTHER 1
livelihood | OTHER 2
livelihoods | OTHER 2
liver | OTHER 2
livers | OTHER 1
livery | OTHER 1
lives | PERSON 4 PERSON: 2 OTHER 36 OTHER: 9
livestock | OTHER 1
living | OTHER 12 OTHER: 6
lizard | OTHER 1
load | OTHER 2 OTHER: 1
loading | OTHER: 2
loadings | OTHER: 1
loads | OTHER: 1
loaf | OTHER 1
loafers | OTHER 1
loan | OTHER 10 OTHER: 6
loans | OTHER 23 OTHER: 10
loaves | OTHER: 1
lobbies | FACILITY 1 OTHER 1
lobby | ORGANIZATION 2 PERSON 1 FACILITY 1
lobbyist | PERSON 9 PERSON: 2 OTHER 1
local | ORGANIZATION 2
locals | PERSON 3 PERSON: 1 OTHER: 1
location | FACILITY:Bounded-Area 1 LOCATION 5 OTHER 5
locations | FACILITY 1 FACILITY:Subarea-Building 1 LOCATION:Region-Local 2 LOCATION 3 OTHER 1
lock | OTHER 2 OTHER: 1
locker | OTHER 3
lockers | OTHER: 1
lockout | OTHER 3
locks | OTHER: 1
lockstep | OTHER 1
locomotive | OTHER 1
locus | GPE 1
locusts | OTHER 1
logging | OTHER: 1
logic | OTHER: 1
logo | OTHER 3 OTHER: 1
loincloth | OTHER 1
loners | PERSON: 1
long | OTHER 3
longboats | OTHER 1
longer | OTHER 1
longer? [ | OTHER 1
longest | OTHER 2 OTHER: 1
longevity | OTHER 1
longing | OTHER 1
look | OTHER 30 OTHER: 19
loony | PERSON 1
loopholes | OTHER 1
loose | OTHER 1
lord | ORGANIZATION 1 OTHER 1
lords | PERSON 1
lore | OTHER 2
loser | PERSON: 1 GPE 1 OTHER 1
losers | PERSON: 1 OTHER 1
loss | OTHER 33 OTHER: 10
losses | PERSON: 1 OTHER 29 OTHER: 2
lot | PERSON 22 PERSON: 1 ORGANIZATION:Commercial 1 ORGANIZATION 2 FACILITY 3 LOCATION 1 OTHER 113 OTHER: 56
lots | PERSON 1 OTHER 7 OTHER: 4
lottery | OTHER 2 OTHER: 2
loudspeakers | OTHER 1
lounge | FACILITY 1
love | PERSON 1 OTHER 6 OTHER: 3
lovers | OTHER 1
loves | OTHER 2
low | OTHER 4 OTHER: 4
lower | OTHER 2
lowest | OTHER 2 OTHER: 1
lows | OTHER 1
loyalist | PERSON 1
loyalists | PERSON 1
loyalty | OTHER 3 OTHER: 1
lt. | PERSON: 1 OTHER: 1
luck | OTHER 2 OTHER: 1
luggage | OTHER 2 OTHER: 1
lull | OTHER 1
lumberyard | FACILITY 1
luminary | PERSON 1
lump | OTHER 1
lumpectomy | OTHER: 2
lunch | OTHER 3
luncheon | OTHER 2
lung | OTHER 2 OTHER: 1
lungs | OTHER 1
lurch | OTHER 1
lure | OTHER 2 OTHER: 1
lust | OTHER 1
luxury | OTHER 6 OTHER: 1
lybia | GPE 1
lymph | OTHER 2
lyric | OTHER 1
lyrics | OTHER 3 OTHER: 4
m | OTHER 2 OTHER: 2
macaroni | OTHER 1
machinations | OTHER 1 OTHER: 1
machine | ORGANIZATION 2 OTHER 12 OTHER: 16
machinery | ORGANIZATION:Government 1 OTHER 7 OTHER: 1
machines | OTHER 15 OTHER: 6
mackerel | OTHER: 1
macs | OTHER: 1
madness | OTHER 2
maelstrom | OTHER 1
mafia | ORGANIZATION 21
mafias | ORGANIZATION 1
mag | OTHER: 1
magazine | ORGANIZATION:Commercial 2 ORGANIZATION 7 OTHER 8 OTHER: 7
magazines | ORGANIZATION:Commercial 1 ORGANIZATION 5 OTHER 1 OTHER: 4
magic | OTHER 2
magistrate | OTHER 1
magnate | OTHER 1
magnitude | OTHER 2 OTHER: 1
mahogany | OTHER 1
maid | PERSON 1
maids | PERSON 1
mail | OTHER 12 OTHER: 4
mailings | OTHER 1
mails | OTHER 1 OTHER: 1
main | OTHER 3
mainland | GPE 4 LOCATION 3
mainsprings | OTHER: 1
mainstay | OTHER 1
mainstream | OTHER 2
maintenance | OTHER 3 OTHER: 1
maization | OTHER: 1
maj. | OTHER: 1
major | PERSON: 1 ORGANIZATION:Commercial 4 OTHER: 13
majorities | PERSON: 1 OTHER 1
majority | PERSON 34 PERSON: 7 GPE 1 OTHER 11 OTHER: 16
majors | ORGANIZATION:Commercial 1
makeover | OTHER: 2
maker | ORGANIZATION:Commercial 5 ORGANIZATION 9 OTHER 2 OTHER: 2
makers | ORGANIZATION:Commercial 3 ORGANIZATION 9 OTHER: 1
makeup | OTHER 1 OTHER: 1
making | OTHER 4
makings | OTHER 1
malaise | OTHER 2
malaria | OTHER 1
malaysians | PERSON 1
male | PERSON 2
malfunction | OTHER 12
mall | FACILITY 1 OTHER: 1
malls | FACILITY 1
malnutrition | OTHER 1
mama | OTHER: 1
mammal | OTHER: 1
mammals | OTHER: 1
mammoth | OTHER 1
man | PERSON 157 PERSON: 43 OTHER 4 OTHER: 2
management | PERSON 5 PERSON: 1 OTHER 12 OTHER: 3
manager | ORGANIZATION:Commercial 1 PERSON 25 PERSON: 12 OTHER 3 OTHER: 1
managers | ORGANIZATION:Commercial 1 PERSON 15 PERSON: 6 OTHER 2
mandate | OTHER 8 OTHER: 1
mandates | OTHER 1
maneuver | OTHER 2
maneuverability | OTHER 1
maneuverings | OTHER 2
maneuvers | OTHER 2 OTHER: 1
mangler | PERSON: 1
manhunt | OTHER 2 OTHER: 1
mania | OTHER 2
manipulation | OTHER 2
mankind | PERSON 1
manned | OTHER 1
manner | OTHER 4 OTHER: 4
manners | OTHER 1
manpower | OTHER 1
mansion | FACILITY:Building 3 FACILITY 2
manslaughter | OTHER 2
manual | OTHER 5 OTHER: 6
manufacturer | ORGANIZATION 4
manufacturers | ORGANIZATION:Commercial 5 ORGANIZATION 2
manure | OTHER 2
many | ORGANIZATION:Commercial 2 ORGANIZATION 6 ORGANIZATION:Educational 1 ORGANIZATION:Other 1 PERSON 48 PERSON: 19 GPE:Nation 1 GPE 1 OTHER 57 OTHER: 15
many more | OTHER 1
map | OTHER 8
maple | OTHER: 1
maps | OTHER 2
marathon | OTHER 1
march | OTHER 58 OTHER: 12
marchers | ORGANIZATION 1 PERSON 4
marches | OTHER 2
margin | OTHER 6 OTHER: 9
margins | OTHER 2 OTHER: 4
marijuana | OTHER 11
mark | OTHER 4 OTHER: 4
marker | OTHER 2
market | PERSON 2 ORGANIZATION:Non-Profit 1 ORGANIZATION:Commercial 3 ORGANIZATION 9 GPE:Nation 1 GPE:Population-Center 1 FACILITY:Bounded-Area 1 FACILITY 4 LOCATION:Region-Local 1 OTHER 89 OTHER: 37
marketer | ORGANIZATION 1
marketers | ORGANIZATION:Commercial 1 PERSON 2
marketing | OTHER 7 OTHER: 5
marketmakers | ORGANIZATION:Commercial 1
marketplace | ORGANIZATION:Commercial 1 OTHER 3 OTHER: 3
marketplaces | OTHER: 1
markets | ORGANIZATION:Commercial 3 ORGANIZATION 11 FACILITY 3 LOCATION 1 OTHER 25 OTHER: 11
marks | OTHER 6 OTHER: 5
markup | OTHER 1
marquee | OTHER 1
marriage | OTHER 7 OTHER: 1
marriages | OTHER: 1
marrow | OTHER 2
marshal | PERSON: 1 OTHER 1
marshland | LOCATION 1
martin | PERSON 1
martyr | PERSON 2
martyrs | PERSON: 1
marvel | ORGANIZATION 1
marxism | OTHER 5
mask | OTHER 1
masks | OTHER 9
mass | OTHER: 3
massacre | OTHER 4
masses | OTHER 1
masseuses | PERSON 1
mast | OTHER 2
mastectomy | OTHER: 3
master | PERSON 3 PERSON: 5 OTHER 1
masterpieces | OTHER 1
masters | PERSON 4
match | OTHER 23 OTHER: 1
matches | OTHER 12
matchmaker | PERSON 1
matchup | OTHER 2 OTHER: 1
mate | PERSON 1 PERSON: 1 OTHER 1
material | OTHER 38 OTHER: 3
materials | OTHER 11 OTHER: 2
mates | PERSON 1 PERSON: 2
math | OTHER: 1
mathematician | PERSON 2
mathematicians | PERSON 1 PERSON: 1
mathematics | OTHER 1
matrimony | OTHER 1
matrix | OTHER: 2
matter | OTHER 46 OTHER: 14
matters | OTHER 4 OTHER: 1
maturities | OTHER 1
maturity | OTHER: 1
maudlin | OTHER 1
maven | PERSON 1
mavens | PERSON 1
maximum | OTHER 3 OTHER: 2
may | FACILITY 1 OTHER 43 OTHER: 5
mayday | OTHER 1
mayhem | OTHER 2
mayor | PERSON 20 PERSON: 6
mayors | PERSON 1 PERSON: 1
me. | PERSON 1
meadows | LOCATION 1
meal | OTHER 5 OTHER: 7
meals | OTHER 1
mean | OTHER 2
meaning | OTHER 5 OTHER: 1
meanings | OTHER 1
means | OTHER 16 OTHER: 5
meantime | OTHER 4 OTHER: 1
mear | OTHER 1
measure | OTHER 16 OTHER: 10
measurements | OTHER 1 OTHER: 1
measures | OTHER 27 OTHER: 5
meat | OTHER 3
meatloaf | OTHER 1
mecca | FACILITY 1
mechanics | PERSON 1 OTHER: 1
mechanised | OTHER 1
mechanism | OTHER 7 OTHER: 4
mechanisms | OTHER 5 OTHER: 1
med | OTHER 1
medal | OTHER 20 OTHER: 1
medalist | PERSON 4
medalists | PERSON 2
medals | OTHER 3
media | PERSON 5 ORGANIZATION:Commercial 4 ORGANIZATION 26 ORGANIZATION:Other 1 OTHER 14 OTHER: 4
mediation | OTHER 1
mediator | PERSON 1
medication | OTHER 3 OTHER: 3
medicine | OTHER 14 OTHER: 2
medicines | OTHER 3
mediocre | OTHER: 1
meditations | OTHER 1
medium | OTHER 3 OTHER: 5
medley | OTHER 1
meeting | OTHER 111 OTHER: 56
meetings | OTHER 35 OTHER: 7
megabyte | OTHER 1
melee | OTHER 1
melin | OTHER 1
melodically | OTHER 1
melodies | OTHER 2
melodrama | OTHER 2
melody | OTHER: 1
meltdown | OTHER 6
melting | OTHER 1
member | PERSON 53 PERSON: 16 GPE:Nation 1 GPE 1 OTHER 2
members | ORGANIZATION 3 PERSON 154 PERSON: 22 GPE:Nation 1 GPE 16 OTHER: 1
membership | PERSON: 1 OTHER 7 OTHER: 1
memo | OTHER 7 OTHER: 5
memorandum | OTHER 1
memorandums | OTHER 3
memorial | ORGANIZATION 1 FACILITY:Building 5 FACILITY 4 OTHER 1 OTHER: 1
memories | OTHER 6 OTHER: 1
memory | OTHER 5 OTHER: 3
men | ORGANIZATION 1 PERSON 154 PERSON: 28 OTHER 2 OTHER: 2
men. | PERSON 1
menace | OTHER 2
menhaden | OTHER: 2
menopause | OTHER 1 OTHER: 1
menorah | OTHER 2
mentality | OTHER 2 OTHER: 1
mention | OTHER 4 OTHER: 1
mentions | OTHER: 1
mentor | PERSON 2
menu | OTHER 9 OTHER: 4
menus | OTHER 4
mercedes | OTHER 2
merchandise | OTHER 1
merchants | ORGANIZATION:Commercial 2 PERSON 1 PERSON: 6 OTHER: 1
mercy | OTHER 1
merged. . . | OTHER 1
merger | OTHER 17 OTHER: 10
mergers | OTHER 3 OTHER: 1
merit | OTHER 1
meritocracy | OTHER 1
merits | OTHER 3 OTHER: 2
mess | OTHER 10 OTHER: 1
message | OTHER 51 OTHER: 17
messages | OTHER 26 OTHER: 5
messaging | OTHER 1 OTHER: 3
messenger | PERSON 1
metal | OTHER 8
metallic | OTHER 1
metallurgy | OTHER 1
metals | OTHER 5 OTHER: 1
metaphor | OTHER 1
meteorologists | PERSON 2
meteors | OTHER 1
meter | OTHER 3 OTHER: 1
meters | OTHER 15 OTHER: 1
methane | OTHER 1
method | OTHER 9 OTHER: 7
methods | OTHER 7 OTHER: 5
metrics | OTHER: 1
metropolis | GPE 1
mice | OTHER: 6
microbe | OTHER 2
microorganisms | OTHER: 1
microphone | OTHER 2
microphones | OTHER 2
micropreemies | PERSON 1
microprocessor | OTHER 1
microprocessors | OTHER 1
mid | OTHER 4 OTHER: 1
midafternoon | OTHER 1
midair | OTHER: 1
midday | OTHER 3 OTHER: 2
middle | LOCATION:Region-Local 1 LOCATION 2 OTHER 13 OTHER: 10
middlemen | PERSON 1
mideast | OTHER 1
midnight | OTHER 12 OTHER: 1
midpoint | OTHER 1
midsection | LOCATION 1 OTHER 1
midst | OTHER 6 OTHER: 3
midweek | OTHER 1
midwesterner | PERSON 1
mig | OTHER 1
migrants | PERSON 1
migration | OTHER: 3
mike | OTHER 1
mile | OTHER 12 OTHER: 4
miles | LOCATION 2 OTHER 81 OTHER: 18
milestone | OTHER 1 OTHER: 1
milieu | OTHER 2
militant | PERSON 1
