! | OTHER 9 OTHER: 17
!! | OTHER: 3
!. | OTHER: 1
$ | OTHER: 2
journalists | PERSON 32 PERSON:Group 29
journals | OTHER 1
journey | OTHER 7 OTHER: 9
journey.. | OTHER: 2
journies | OTHER: 1
joy | PERSON:Individual 1 OTHER 6 OTHER: 3
joys | OTHER 1
ju | OTHER: 1
jubilation | OTHER: 1
judge | PERSON:Individual 36 PERSON 89 PERSON:Group 1 OTHER 23 OTHER: 1
judgement | OTHER 1
judges | PERSON 30 PERSON:Group 14 GPE 2 OTHER 1
judgeships | OTHER 1
judgment | OTHER 13 OTHER: 5
judgments | OTHER 4
judiciary | ORGANIZATION:Government 2 ORGANIZATION 2 OTHER 5
juice | OTHER 4
juices | OTHER 4
july | PERSON 1 OTHER 39 OTHER: 22
jumble | OTHER 1
jump | OTHER 5 OTHER: 1
jumper | PERSON 1 OTHER 1
jumpers | PERSON:Group 1
junction | FACILITY:Path 7
juncture | OTHER 3
june | OTHER 59 OTHER: 24
jungle | LOCATION 2 OTHER 2
junior | PERSON 1 OTHER 1
junk | OTHER 1
junky | OTHER: 1
junta | PERSON:Group 1 ORGANIZATION:Government 1 ORGANIZATION 7
jural | PERSON:Individual 1
jurisdiction | GPE:State-or-Province 1 GPE 1 OTHER 17 OTHER: 1
jurisdictions | OTHER 1 OTHER: 1
jurists | PERSON 1
juror | PERSON:Individual 2 PERSON 5
jurors | PERSON 4 PERSON:Group 1
jury | PERSON 17 PERSON:Group 13 ORGANIZATION 29 OTHER 5
just 19 | OTHER 1
just 300 | OTHER 1
just 5 | OTHER: 1
just one | OTHER 4 OTHER: 2
just one more | OTHER: 1
just that. | OTHER: 1
just three | OTHER 1
justice | ORGANIZATION:Government 2 ORGANIZATION:Non-Governmental 3 ORGANIZATION 26 PERSON:Individual 2 PERSON 13 PERSON:Group 1 OTHER 68 OTHER: 21
justice minister | OTHER 3
justices | PERSON 27 PERSON:Group 1 OTHER 1
justification | OTHER 2 OTHER: 2
justifications | OTHER 1
juxtaposition | OTHER 1
kandel | OTHER 2
kapusta | PERSON 1
karat | OTHER: 2
karats | OTHER: 1
karma | OTHER: 1
karp | OTHER: 1
karzai | OTHER: 1
katv | ORGANIZATION 2
kay | OTHER: 1
kebabs | OTHER 1
keep | OTHER 1
keeper | PERSON 2
ken | PERSON:Individual 34 PERSON 1
kennels | FACILITY:Building-Grounds 1
kernel | OTHER 1
key | GPE:Population-Center 1 LOCATION:Land-Region-Natural 1 OTHER 22 OTHER: 53
keyboard | OTHER 2
keyboards | OTHER 1
keys | OTHER 1 OTHER: 12
keyword | OTHER 1
kezi | ORGANIZATION:Media 1
kick | OTHER 4 OTHER: 1
kickbacks | OTHER 1
kickoff | OTHER 2 OTHER: 1
kid | PERSON:Individual 14 PERSON 6 OTHER 1 OTHER: 1
kidnapped | OTHER 2
kidnapper | PERSON 1
kidnappers | PERSON 16
kidnappings | OTHER 3 OTHER: 1
kidney | OTHER 7 OTHER: 1
kidneys | OTHER 1
kids | ORGANIZATION:Sports 1 PERSON 37 PERSON:Group 31
killer | VEH:Air 1 PERSON:Individual 12 PERSON 22 OTHER: 1
killers | PERSON 8 PERSON:Group 3
killing | OTHER 41 OTHER: 2
killings | PERSON 1 OTHER 31 OTHER: 6
kilo | OTHER 1 OTHER: 1
kilogram | OTHER: 2
kilogramme | OTHER 1
kilograms | OTHER 1
kilometer | OTHER 4
kilometers | OTHER 36 OTHER: 13
kilometre | OTHER: 2
kilometres | OTHER 4
kilowatt | OTHER 1
kilowatts | OTHER 2
kilter | OTHER 1
kilts | OTHER 5
kind | ORGANIZATION 2 PERSON 2 OTHER 129 OTHER: 159
kindergarten | ORGANIZATION 1
kindly | OTHER 1
kindness | OTHER 1 OTHER: 2
kinds | OTHER 16 OTHER: 3
king | ORGANIZATION:Commercial 4 PERSON:Individual 24 PERSON 16 GPE:County-or-District 2 FACILITY 1 OTHER 21 OTHER: 23
kingdom | GPE 1
kings | PERSON 1
kingurra | OTHER 1
kippur | OTHER 1
kirkuk | GPE:Population-Center 1
kiss | OTHER: 5
kissers | OTHER: 1
kitchen | VEH:Subarea-Vehicle 1 FACILITY 2 OTHER 3 OTHER: 2
kitchens | FACILITY 1
kits | OTHER 3 OTHER: 1
kitty | PERSON 2 OTHER 1
kleenex | OTHER 1
kmart | ORGANIZATION:Commercial 2
kms | OTHER 3
knack | OTHER 1
knee | OTHER 7 OTHER: 3
knees | OTHER 4 OTHER: 2
knell | OTHER 1
knep... | OTHER: 1
knife | WEA:Sharp 8 OTHER 5 OTHER: 2
knifepoint | OTHER: 1
knight | PERSON:Individual 1 ORGANIZATION:Media 1 OTHER: 1
knob | OTHER 1
knock | OTHER 1
knockdown | OTHER 1
knockout | OTHER 1
knockouts | OTHER 2
knot | PERSON 1 OTHER 1 OTHER: 2
knots | OTHER 1
know-how | OTHER: 1
knowledge | OTHER 16 OTHER: 6
known | OTHER 1 OTHER: 1
knuckles | OTHER 1
kplu | ORGANIZATION 1
kramer | PERSON:Individual 1 OTHER: 1
kramers | PERSON:Group 8
krauflt | OTHER 1
kre | OTHER: 1
kremlin | FACILITY 1
kroner | OTHER 1
kudos | OTHER: 1
kulpas | OTHER: 1
kurds | PERSON:Group 4
kvm | ORGANIZATION 2
kwacha | OTHER: 1
l.a | ORGANIZATION:Media 1
l987 | OTHER 1
la | PERSON:Group 1 GPE:Population-Center 1 FACILITY 9 OTHER 2 OTHER: 3
lab | ORGANIZATION 1 FACILITY 1 OTHER 2
label | ORGANIZATION:Commercial 1 ORGANIZATION 5 OTHER 1 OTHER: 3
labels | OTHER 4 OTHER: 1
labor | ORGANIZATION 1 PERSON 4 PERSON:Group 1 OTHER 41 OTHER: 9
laboratories | ORGANIZATION 1 FACILITY 3
laboratory | ORGANIZATION:Medical-Science 1
labored | OTHER 1
laborers | PERSON 4 OTHER 1
laborious | OTHER 1
labors | OTHER 1
labour | OTHER: 2
labours | OTHER: 1
labs | FACILITY:Building-Grounds 1 OTHER: 1
lace | PERSON:Individual 1 OTHER 1
lack | OTHER 26 OTHER: 14
lackeys | PERSON:Group 1
ladder | OTHER 1 OTHER: 1
ladies | PERSON 9 PERSON:Group 5
lading | OTHER 2
lady | PERSON:Individual 3 PERSON 14 OTHER 1
lagoons | LOCATION 1
lair | FACILITY 1
lake | LOCATION 4 LOCATION:Water-Body 2 OTHER: 1
lakes | LOCATION:Water-Body 1
lamb | OTHER 4
lambs | OTHER 1
laments | OTHER 1
lamp | OTHER 1 OTHER: 1
lamps | OTHER: 1
lancer | OTHER 1
land | ORGANIZATION 1 GPE:Nation 4 GPE 4 FACILITY:Building-Grounds 1 FACILITY 2 LOCATION:Region-General 4 LOCATION:Land-Region-Natural 2 LOCATION 15 LOCATION:Region-International 2 OTHER 18 OTHER: 17
lander | VEH:Air 2
landfall | OTHER 1
landholdings | LOCATION 1
landing | OTHER 10 OTHER: 9
landings | OTHER 2 OTHER: 2
landlord | PERSON 2
landmark | FACILITY 1 OTHER 1 OTHER: 2
lands | GPE 4 LOCATION 1 OTHER 1
landscape | GPE 1 OTHER 3 OTHER: 1
landslide | OTHER 2
landslides | OTHER 2
lane | FACILITY:Path 1
lanes | OTHER: 1
langoustines | OTHER 1
language | OTHER 46 OTHER: 4
languages | OTHER 3
lantern | OTHER 3
lanterns | OTHER 1
laos. 3 | GPE:Nation 1
lap | OTHER 2 OTHER: 1
lapastica | GPE 1
lapels | OTHER 1
laps | OTHER 2
lapse | OTHER 2
lapses | OTHER 2
large | OTHER 2
large-scale | OTHER 1
largo | GPE 1 OTHER: 1
laris | OTHER 1
larvae | OTHER 5
lasagna | OTHER 1
laser | WEA:Shooting 7 WEA:Underspecified 1 OTHER: 4
lasers | WEA:Underspecified 3
lashes | OTHER: 2
lasso | OTHER 1
last | PERSON:Individual 1 WEA:Underspecified 1 OTHER 14 OTHER: 6
late | OTHER 3 OTHER: 1
late 1992 | OTHER 1
late 1993 | OTHER 1
late 1995 | OTHER 2
late 1997 | OTHER 1
late 2001 | OTHER: 1
late 2002 | OTHER 1
later | OTHER: 1
latest | ORGANIZATION 1 OTHER 26 OTHER: 20
latitude | OTHER 1
latte | OTHER: 1
latter | ORGANIZATION:Commercial 1 GPE 1 OTHER 2 OTHER: 1
lattes | OTHER: 1
latvia. .. | GPE 1
laugh | OTHER 7 OTHER: 1
laughed | OTHER: 1
laughs | OTHER 2
laughter | OTHER 2
launch | OTHER 4 OTHER: 8
launches | OTHER 3
laundromat | FACILITY 1
laundry | OTHER 2 OTHER: 2
laura | PERSON 1
laureate | OTHER: 1
lauro | OTHER: 1
lava | OTHER 3
lavish | OTHER: 1
law | PERSON:Individual 1 ORGANIZATION:Government 1 OTHER 187 OTHER: 65
lawlessness | OTHER 3 OTHER: 3
lawmaker | PERSON:Individual 4 PERSON 4 OTHER 1
lawmakers | PERSON 33 PERSON:Group 11
lawn | LOCATION 4 OTHER 1 OTHER: 1
laws | OTHER 48 OTHER: 21
lawsuit | OTHER 38 OTHER: 7
lawsuits | OTHER 11 OTHER: 4
lawyer | PERSON:Individual 24 PERSON 94 OTHER 2
lawyerese | OTHER 1
lawyers | PERSON 112 PERSON:Group 23
lay | OTHER 1 OTHER: 2
layer | OTHER 5
layers | OTHER 2 OTHER: 1
layoffs | OTHER 12 OTHER: 2
layout | OTHER 1
lays | OTHER 1
lea | PERSON 1
lead | PERSON:Individual 1 OTHER 45 OTHER: 13
lead-in | OTHER 1
leader | ORGANIZATION 6 PERSON:Individual 87 PERSON 144 OTHER 11 OTHER: 1
leader.. | OTHER 1
leaderboard | OTHER 1
leaders | ORGANIZATION 1 PERSON 192 PERSON:Group 52 OTHER 1
leadership | ORGANIZATION 4 PERSON:Indeterminate 2 PERSON 14 PERSON:Group 10 GPE 1 OTHER 20 OTHER: 4
leads | OTHER 6 OTHER: 1
leaf | OTHER 1
leaflet | OTHER 1 OTHER: 1
leaflets | OTHER 3
league | ORGANIZATION:Sports 9 ORGANIZATION 42 OTHER 4 OTHER: 6
leaguer | PERSON 1
leagues | ORGANIZATION 11 OTHER 1
leak | OTHER 9
leakage | OTHER 2
leaks | OTHER 16
lean | OTHER 1
leap | OTHER 4
learner | PERSON 1
learning | OTHER 1 OTHER: 1
leases | OTHER 2
leash | OTHER 1
least | OTHER 8 OTHER: 2
leather | OTHER 6 OTHER: 1
leave | OTHER 1 OTHER: 1
leaves | OTHER: 2
leavin | OTHER 1
lebabon | GPE:Nation 1
lebanese | GPE:Nation 1
lebanon | GPE:Nation 2
lecture | OTHER 1
ledders | OTHER: 1
ledger | OTHER 1
lee | PERSON:Individual 2 PERSON 4 OTHER 1 OTHER: 9
leeway | OTHER: 1
left | PERSON 1 OTHER 2 OTHER: 6
left-wing | OTHER 2 OTHER: 1
leftist | OTHER 2 OTHER: 2
leftists | PERSON 1
leg | ORGANIZATION 1 OTHER 12 OTHER: 6
legacies | OTHER 1
legacy | FACILITY 1 OTHER 7 OTHER: 5
legal | OTHER 2 OTHER: 1
legality | OTHER 1 OTHER: 1
legals | OTHER 1
legend | VEH:Water 1 PERSON:Individual 3 PERSON 3 OTHER: 1
legends | PERSON 1
leggings | OTHER 1
legion | ORGANIZATION:Commercial 1
legions | PERSON 1
legislation | OTHER 36 OTHER: 9
legislative | OTHER 1
legislator | PERSON:Individual 1 PERSON 6
legislators | PERSON 9 PERSON:Group 3
legislature | ORGANIZATION:Government 3 ORGANIZATION 21
legislatures | ORGANIZATION 1 GPE 1
legitimacy | OTHER 7 OTHER: 11
legitimate | OTHER 1 OTHER: 2
legs | OTHER 6 OTHER: 4
lenders | PERSON 1 ORGANIZATION 2
length | OTHER 3 OTHER: 5
lengths | OTHER: 1
leniency | OTHER 1 OTHER: 1
lens | OTHER 3
lenses | OTHER 1
lesbians | PERSON 1
lesions | OTHER 1
less | OTHER 9 OTHER: 10
lesser | OTHER: 1
lesson | OTHER 11 OTHER: 1
lessons | OTHER 3
let | OTHER 26 OTHER: 42
let-up | OTHER: 1
letdown | OTHER 1
lethal | OTHER: 1
lets | OTHER 1 OTHER: 3
letter | OTHER 73 OTHER: 22
letters | OTHER 17 OTHER: 17
letup | OTHER 1 OTHER: 1
leung | OTHER: 1
level | OTHER 73 OTHER: 32
levels | OTHER 39 OTHER: 3
lever | OTHER 3 OTHER: 2
leverage | OTHER 4 OTHER: 2
lexicon | OTHER 1
liabilities | OTHER 1 OTHER: 2
liability | OTHER 4 OTHER: 2
liaison | PERSON 1
liaisons | OTHER 1
liar | PERSON:Individual 2 PERSON 5
libel | OTHER 1
liberal | PERSON:Individual 6 PERSON 3 OTHER 1 OTHER: 1
liberalization | OTHER 2
liberals | PERSON 9 PERSON:Group 7
liberated | OTHER 1
liberation | OTHER: 5
libero | OTHER: 1
libertarian | PERSON 1
libertarians | PERSON 1
liberties | OTHER 1
liberty | OTHER 4 OTHER: 6
librarians | PERSON 1
libraries | ORGANIZATION:Non-Governmental 1 OTHER: 1
library | ORGANIZATION 1 FACILITY 2 OTHER 1 OTHER: 1
libretto | OTHER 1
librettos | OTHER 1
libya | GPE 1
license | OTHER 5 OTHER: 6
licenses | OTHER 2 OTHER: 1
lick | OTHER 1
lid | OTHER: 1
lie | OTHER 1 OTHER: 1
lie. | OTHER 1
lied | OTHER: 1
lies | OTHER 6 OTHER: 2
lieutenant | PERSON:Individual 1 PERSON 1 OTHER 2 OTHER: 3
lieutenants | PERSON 3
life | OTHER 147 OTHER: 104
life. | OTHER: 1
lifeline | OTHER 1
lifestyle | OTHER 1 OTHER: 2
lifestyles | OTHER 1 OTHER: 1
lifetime | OTHER 7 OTHER: 5
lift | FACILITY 1 OTHER 4
lifts | FACILITY 1 OTHER 1
ligament | OTHER 1
ligaments | OTHER 1
light | OTHER 28 OTHER: 16
lighter | OTHER 2 OTHER: 2
lightning | OTHER 2
lights | OTHER 19 OTHER: 4
like | OTHER 1
liked.third | OTHER 1
likelihood | OTHER 8 OTHER: 4
likely | OTHER 1
likes | OTHER 2
limb | VEH 1 OTHER 1
limbo | OTHER 4
limbs | OTHER 1
limelight | OTHER 1
limit | OTHER 15 OTHER: 7
limitation | OTHER 1
limitations | OTHER 2 OTHER: 1
limits | LOCATION:Region-General 1 OTHER 20 OTHER: 3
limitting | OTHER: 1
limousine | OTHER 1
lincoln | PERSON:Individual 1
line | PERSON 1 PERSON:Group 1 ORGANIZATION:Commercial 1 ORGANIZATION 1 FACILITY:Path 2 FACILITY 2 LOCATION:Land-Region-Natural 2 LOCATION 2 LOCATION:Boundary 1 OTHER 123 OTHER: 35
linebacker | PERSON 1
lineman | PERSON 1 PERSON:Group 1
linemen | PERSON 2
liners | PERSON 1 OTHER 3
lines | PERSON 1 FACILITY:Path 4 FACILITY 5 OTHER 51 OTHER: 17
lineup | PERSON 1 OTHER 4 OTHER: 1
lingering | OTHER 1
lining | OTHER 1
link | OTHER 8 OTHER: 10
links | OTHER 21 OTHER: 10
lion | OTHER 2 OTHER: 1
lions | OTHER 2
lip | OTHER 1 OTHER: 1
lips | OTHER 2 OTHER: 1
lipstick | OTHER 1
liquid | OTHER 1 OTHER: 1
liquidation | OTHER: 1
liquidity | OTHER 2
lira | OTHER 2
list | OTHER 54 OTHER: 23
listener | PERSON:Individual 1
listeners | PERSON 5
listing | OTHER 7 OTHER: 1
listings | OTHER 4
lists | OTHER 7
lit | OTHER 1
liter | OTHER 2 OTHER: 2
literacy | OTHER 4
literate | OTHER 1
literature | OTHER 1 OTHER: 1
liters | OTHER 1
lithography | OTHER 1
litigation | OTHER 12 OTHER: 2
litmus | OTHER: 1
litter | OTHER 1 OTHER: 2
little | ORGANIZATION:Sports 1 OTHER 17 OTHER: 20
littoral | OTHER 1
liturgy | OTHER 1
live | OTHER 1
livelihood | OTHER 2
livelihoods | OTHER 2
liver | OTHER 2 OTHER: 2
liverpool | GPE:Population-Center 1
livers | OTHER 1
livery | OTHER 1
lives | PERSON 6 PERSON:Group 3 OTHER 45 OTHER: 29
livestock | OTHER 2
living | OTHER 20 OTHER: 3
lizard | OTHER 1
load | OTHER 3 OTHER: 4
loading | OTHER 2
loadings | OTHER 1
loads | OTHER 1 OTHER: 2
loaf | OTHER 1
loafers | OTHER 1
loan | OTHER 17 OTHER: 9
loans | OTHER 33 OTHER: 2
loaves | OTHER 1
lobbed | OTHER: 1
lobbies | FACILITY 1 OTHER 1
lobby | ORGANIZATION 2 PERSON 1 PERSON:Group 3 FACILITY:Subarea-Facility 1 FACILITY 1
lobbyist | PERSON:Individual 1 PERSON 11 OTHER 1
local | ORGANIZATION 2
locale | OTHER: 1
locals | PERSON 4 PERSON:Group 4 OTHER 1
location | FACILITY:Building-Grounds 2 FACILITY 1 LOCATION:Region-General 7 LOCATION 5 OTHER 7 OTHER: 4
locations | FACILITY:Building-Grounds 2 FACILITY 2 LOCATION:Region-General 3 LOCATION 5 OTHER 1 OTHER: 2
lock | OTHER 3 OTHER: 2
locker | OTHER 4
lockers | OTHER 1
lockout | OTHER 3 OTHER: 1
locks | OTHER 1
lockstep | OTHER 1
locomotive | OTHER 1
locus | GPE 1
locusts | OTHER 1
lodging | OTHER: 1
log | OTHER: 1
logging | OTHER 3
logic | OTHER 1 OTHER: 1
logistics | OTHER: 1
logo | OTHER 4 OTHER: 2
logos | OTHER: 1
loincloth | OTHER 1
lollipop | OTHER: 2
loners | PERSON 1
long | OTHER 3 OTHER: 3
long-term | OTHER: 1
longboat | GPE 1
longboats | OTHER 1
longer | OTHER 1
longer? [ | OTHER 1
longest | OTHER 3
longevity | OTHER 1 OTHER: 1
longing | OTHER 1 OTHER: 1
look | OTHER 49 OTHER: 46
looked | OTHER: 1
lookedding | OTHER: 1
looking-glass | OTHER: 1
looks | OTHER: 2
loom | OTHER: 1
loomed | OTHER: 1
loonies | PERSON:Group 2
loony | PERSON 1
loophole | OTHER: 1
loopholes | OTHER 1
loose | OTHER 1
loot | OTHER: 2
looter | PERSON:Indeterminate 1
looters | PERSON:Group 1
lord | ORGANIZATION 1 OTHER 1
lords | PERSON 1
lore | OTHER 2
loser | ORGANIZATION:Commercial 1 PERSON 1 GPE 1 OTHER 1
losers | PERSON 1 OTHER 1
loss | OTHER 43 OTHER: 18
losses | PERSON 1 OTHER 31 OTHER: 4
lot | PERSON 23 PERSON:Group 1 ORGANIZATION 3 FACILITY:Subarea-Facility 1 FACILITY:Building-Grounds 2 FACILITY 3 LOCATION:Region-General 1 LOCATION 1 WEA:Underspecified 2 OTHER 169 OTHER: 177
lots | PERSON 2 OTHER 11 OTHER: 23
lottery | OTHER 4 OTHER: 2
loudspeakers | OTHER 1 OTHER: 1
lounge | FACILITY 1
lounges | VEH:Subarea-Vehicle 1
louse | PERSON:Individual 1
love | PERSON 1 OTHER 10 OTHER: 14
loved | OTHER: 2
lover | PERSON:Individual 1 OTHER 1
lovers | PERSON:Group 1 OTHER 1
loves | OTHER 2
low | OTHER 8 OTHER: 2
lower | OTHER 2 OTHER: 1
lowest | OTHER 3
lows | OTHER 1 OTHER: 2
loyalist | PERSON 1
loyalists | PERSON 1 PERSON:Group 2
loyalties | OTHER: 1
loyalty | OTHER 4 OTHER: 2
lt. | PERSON:Individual 5 PERSON 2 OTHER 16 OTHER: 3
lt. gen. | PERSON:Individual 1 OTHER 3
ltlee | PERSON:Individual 1
lu | OTHER: 1
luck | OTHER 4 OTHER: 13
luggage | OTHER 3
lull | OTHER 1
lumber | OTHER: 2
lumberyard | FACILITY 1
luminary | PERSON 1
lump | OTHER 1 OTHER: 2
lumpectomy | OTHER 2
lunatic | PERSON:Individual 1
lunch | OTHER 5 OTHER: 7
luncheon | OTHER 3 OTHER: 1
lunchtime | OTHER 1
lung | OTHER 5 OTHER: 1
lungs | OTHER 1
lurch | OTHER 1
lure | OTHER 3
lust | OTHER 1
luster | PERSON:Individual 2 OTHER: 7
luxury | OTHER 15 OTHER: 1
lybia | GPE 1
lymph | OTHER 2
lynch | PERSON:Individual 1 OTHER: 8
lyric | OTHER 1
lyrics | OTHER 7
m | VEH:Land 1 WEA:Shooting 1 OTHER 4 OTHER: 6
m1 | VEH:Land 2
ma | OTHER: 1
ma'am | OTHER 1
mac | OTHER: 1
macaroni | OTHER 1
machetes | WEA:Sharp 1
machinations | OTHER 2 OTHER: 1
machine | ORGANIZATION 2 WEA:Shooting 1 OTHER 32 OTHER: 7
machinery | ORGANIZATION 1 OTHER 8 OTHER: 3
machines | OTHER 21 OTHER: 2
mackerel | OTHER 1
macs | OTHER 1
madam | PERSON:Individual 1
maddox | OTHER: 1
madness | OTHER 2 OTHER: 1
maelstrom | OTHER 1
mafia | ORGANIZATION 21
mafias | ORGANIZATION 1
mag | OTHER 1 OTHER: 1
magazine | ORGANIZATION 12 ORGANIZATION:Media 2 OTHER 16 OTHER: 10
magazines | ORGANIZATION 6 OTHER 5
magic | OTHER 2 OTHER: 3
magistrate | PERSON:Individual 1 OTHER 1
magistrates | PERSON:Group 1
magnate | OTHER 1
magnitude | OTHER 3
mahogany | OTHER 1
maid | PERSON 1
maids | PERSON 1
mail | OTHER 22 OTHER: 11
mailbox | OTHER: 1
mailings | OTHER 1
mails | OTHER 2 OTHER: 4
main | OTHER 2 OTHER: 1
maines | OTHER: 1
mainland | GPE 4 LOCATION:Region-General 1 LOCATION 3 OTHER 1
mains | OTHER: 1
mainsprings | OTHER 1
mainstay | OTHER 1
mainstream | OTHER 2 OTHER: 1
maintenance | OTHER 4 OTHER: 3
maization | OTHER 1
maj. | PERSON:Individual 3 OTHER 6
majesty | OTHER: 1
major | PERSON:Individual 3 PERSON 1 ORGANIZATION:Sports 8 ORGANIZATION 7 OTHER 26 OTHER: 22
majorities | PERSON 1 OTHER 1
majority | PERSON 41 PERSON:Group 6 GPE 1 WEA:Underspecified 1 OTHER 32 OTHER: 12
majors | ORGANIZATION:Commercial 1 ORGANIZATION 1
makeover | OTHER 2 OTHER: 1
maker | ORGANIZATION:Commercial 1 ORGANIZATION 16 OTHER 4 OTHER: 1
makers | ORGANIZATION 12 GPE:Nation 1 OTHER 1 OTHER: 1
makeshift | OTHER: 3
makeup | OTHER 2 OTHER: 1
making | OTHER 4 OTHER: 2
makings | OTHER 1
malaise | OTHER 2
malaria | OTHER 1
malaysians | PERSON 1
malcontent | OTHER: 1
male | PERSON:Individual 1 PERSON 2 OTHER 1
malenchenko | OTHER: 1
males | PERSON:Group 3
malfeasance | OTHER: 2
malfunction | OTHER 12 OTHER: 1
malfunctioned | OTHER: 1
malfunctions | OTHER: 1
mall | FACILITY:Building-Grounds 7 FACILITY 2 OTHER 1 OTHER: 2
malley | OTHER: 1
malls | FACILITY:Building-Grounds 1 FACILITY 1
malnutrition | OTHER 1
malpractice | OTHER: 1
mama | OTHER 1
mammal | OTHER 1
mammals | OTHER 1 OTHER: 1
mammoth | OTHER 1
man | PERSON:Indeterminate 2 PERSON:Individual 89 PERSON 201 PERSON:Group 4 WEA:Projectile 1 OTHER 7 OTHER: 6
management | PERSON 8 PERSON:Group 5 OTHER 17 OTHER: 8
manager | ORGANIZATION 1 PERSON:Individual 3 PERSON 41 OTHER 4
managers | ORGANIZATION 1 PERSON 21 PERSON:Group 5 OTHER 2
mandate | OTHER 9
mandates | OTHER 1
mandolin | OTHER 1
maneuver | OTHER 2 OTHER: 1
maneuverability | OTHER 1
maneuverings | OTHER 2
maneuvers | OTHER 3
mangler | PERSON 1
manhattan | GPE:County-or-District 1
manhunt | OTHER 3
mania | OTHER 2 OTHER: 1
maniac | PERSON:Individual 1
manipulation | OTHER 2
mankind | PERSON 2 PERSON:Group 2
manned | OTHER 1
manner | OTHER 8 OTHER: 4
manners | OTHER 1 OTHER: 2
manpower | OTHER 1
mansion | FACILITY:Building-Grounds 1 FACILITY 6 OTHER: 1
manslaughter | OTHER 2 OTHER: 2
mantle | OTHER: 1
manual | OTHER 11
manufacturer | ORGANIZATION:Commercial 2 ORGANIZATION 4
manufacturers | ORGANIZATION:Commercial 3 ORGANIZATION 7
manure | OTHER 2
many | VEH:Air 1 ORGANIZATION:Commercial 1 ORGANIZATION 10 PERSON:Indeterminate 1 PERSON 67 PERSON:Group 23 GPE 2 OTHER 72 OTHER: 15
many more | OTHER 1 OTHER: 1
map | OTHER 8 OTHER: 23
maple | OTHER 3
maps | OTHER 2
marathon | OTHER 3
marble | OTHER: 1
march | OTHER 71 OTHER: 36
marchers | ORGANIZATION 1 PERSON 4
marches | OTHER 2
margin | OTHER 15 OTHER: 6
margins | OTHER 6 OTHER: 1
marijuana | OTHER 11 OTHER: 1
marina | FACILITY:Building-Grounds 1 OTHER: 2
marine | ORGANIZATION:Government 3 PERSON:Individual 4
mariners | ORGANIZATION 1
marines | ORGANIZATION:Government 3 PERSON:Group 19 OTHER: 1
mark | PERSON:Individual 45 PERSON 1 OTHER 8 OTHER: 4
marker | OTHER 2
markers | OTHER: 1
market | PERSON 2 ORGANIZATION:Commercial 2 ORGANIZATION 13 GPE:Nation 1 GPE 2 FACILITY:Building-Grounds 4 FACILITY 5 LOCATION 1 OTHER 142 OTHER: 33
marketer | ORGANIZATION 1
marketers | ORGANIZATION 1 PERSON 2
marketing | OTHER 19 OTHER: 4
marketmakers | ORGANIZATION 1
marketplace | ORGANIZATION 1 OTHER 6 OTHER: 3
marketplaces | OTHER 1
markets | ORGANIZATION 14 FACILITY 3 LOCATION 1 OTHER 37 OTHER: 7
markings | OTHER: 1
marks | OTHER 12 OTHER: 3
markup | OTHER 1
marquee | OTHER 1
marriage | OTHER 8 OTHER: 18
marriages | OTHER 1 OTHER: 3
married | OTHER: 1
marrow | OTHER 2
marshal | PERSON 1 OTHER 1
marshaled | OTHER: 1
marshals | PERSON:Group 1
marshland | LOCATION 1
mart | OTHER 1 OTHER: 1
martin | PERSON:Individual 3 PERSON 1 OTHER 2
martinis | OTHER: 1
martyr | PERSON:Individual 1 PERSON 2 OTHER: 1
martyrs | PERSON 1
marvel | ORGANIZATION 1
marxism | OTHER 5
mask | OTHER 1 OTHER: 2
masks | OTHER 9 OTHER: 9
masonry | OTHER: 1
mass | OTHER 7 OTHER: 31
massacre | OTHER 4 OTHER: 3
massages | OTHER: 1
masses | PERSON:Group 2 OTHER 1
masseuses | PERSON 1
massive | OTHER: 2
mast | OTHER 2
mastectomy | OTHER 3
master | PERSON:Individual 1 PERSON 9 OTHER 2 OTHER: 1
master.. | PERSON:Individual 1
mastermind | OTHER: 1
masterpieces | OTHER 1
masters | PERSON 4
mat | OTHER: 1
match | OTHER 24 OTHER: 2
matches | OTHER 12
matchmaker | PERSON 1
matchup | OTHER 3
mate | PERSON 4 OTHER 2
mater | ORGANIZATION:Educational 1
material | PERSON:Individual 1 OTHER 24 OTHER: 12
materiale | OTHER: 1
materials | OTHER 13 OTHER: 4
maternity | OTHER: 2
mates | PERSON:Individual 1 PERSON 3 OTHER: 1
math | OTHER 1
mathematician | PERSON 2
mathematicians | PERSON 2
mathematics | OTHER 1
matriarch | PERSON 1
matrimony | OTHER 1
matrix | OTHER 2 OTHER: 1
matter | OTHER 66 OTHER: 39
matters | OTHER 10 OTHER: 2
maturities | OTHER 1
maturity | OTHER 1
maudlin | OTHER 1
maven | PERSON 1
mavens | PERSON 1
maxi | OTHER 1
maximum | OTHER 5 OTHER: 3
may | FACILITY 1 OTHER 50 OTHER: 36
maybe one | OTHER: 1
mayday | OTHER 1
mayhem | OTHER 2
mayor | PERSON:Individual 24 PERSON 36 OTHER 16 OTHER: 2
mayors | PERSON 2 OTHER 1
mays | OTHER 1
maze | OTHER: 2
mazen | OTHER: 3
mcclauklin | PERSON 1
mcdonalds | ORGANIZATION 1
mclaren | VEH 1
mdp | ORGANIZATION:Non-Governmental 1
me. | PERSON 1
me.. | PERSON:Individual 1
meadows | LOCATION 1
meal | OTHER 12 OTHER: 5
